Year,"Total forcing [V,S,L,G]"
1526,-0.0146965
1527,-0.2419951
1528,-0.1674561999999999
1529,-0.0463473999999999
1530,-0.02344994
1531,-0.019865273
1532,-0.0194775999999999
1533,-0.0220440999999999
1534,-0.0184383999999999
1535,-0.3246899
1536,-0.2835426
1537,-0.0596314999999999
1538,-0.01896093
1539,-0.01349024
1540,-0.0133771899999999
1541,-0.0155896999999999
1542,-0.0173094999999999
1543,-0.0185836
1544,-0.0241485999999999
1545,-0.0163355999999999
1546,-0.0064134
1547,-0.0011516999999999
1548,0.0045499999999999
1549,-0.0003763999999999
1550,-0.0060682999999999
1551,-0.0105550999999999
1552,-0.0175452
1553,-0.0226852999999999
1554,-0.0272506
1555,-0.03005
1556,-0.0205021
1557,-0.0084481999999999
1558,-0.0025328
1559,0.0042338999999999
1560,-0.0028928
1561,-0.0111269
1562,-0.0177026999999999
1563,-0.0280747
1564,-0.0354737
1565,-0.0419523
1566,-0.0396370999999999
1567,-0.0308468999999999
1568,-0.0194739
1569,-0.0142079999999999
1570,-0.0081733999999999
1571,-0.0160228999999999
1572,-0.0249190999999999
1573,-0.0320823
1574,-0.0427032
1575,-0.0508116
1576,-0.0580037
1577,-0.0565413999999999
1578,-0.0489547
1579,-0.0390422
1580,-0.0352673
1581,-0.0308252999999999
1582,-0.0396798
1583,-0.0499633
1584,-0.0588714
1585,-1.6192080000000002
1586,-1.1109943
1587,-0.2881204
1588,-0.1340465
1589,-0.09657396
1590,-0.078595997
1591,-0.074659988
1592,-0.06980254
1593,-0.0845349
1594,-1.06908
1595,-0.632856
1596,-0.2280474
1597,-0.1647673
1598,-0.1645733999999999
1599,-0.17881326
1600,-0.1600768
1601,-4.899327499999999
1602,-2.0612852000000004
1603,-0.4686453
1604,-0.1911926
1605,-0.1620969
1606,-0.169493507
1607,-0.1939921
1608,-0.2123019
1609,-0.2272247
1610,-0.2034284
1611,-0.2079592
1612,-0.1372889
1613,-0.1173547
1614,-0.1032034999999999
1615,-0.1529672
1616,-0.225995
1617,-0.2461678
1618,-0.2454505
1619,-0.2263592999999999
1620,-0.754334
1621,-0.5041318
1622,-0.2686124
1623,-0.22173354
1624,-0.2171478499999999
1625,-0.1715179929999999
1626,-0.1862691
1627,-0.1943987
1628,-0.1815096
1629,-0.1827365
1630,-0.2014899
1631,-0.1915271
1632,-0.1928591999999999
1633,-0.1710172999999999
1634,-0.1811102
1635,-0.1753654
1636,-0.177195
1637,-0.1735933
1638,-0.0863037
1639,-0.0734194
1640,-0.1465622
1641,-0.1627718
1642,-5.061839000000001
1643,-1.741753
1644,-0.4337324999999999
1645,-0.2054881
1646,-0.1630164399999999
1647,-0.1536582
1648,-0.1531489999999999
1649,-0.1524095
1650,-0.1522225
1651,-0.1517897
1652,-0.1469234
1653,-0.1504921
1654,-0.1510042
1655,-0.1511285
1656,-0.1510848
1657,-0.1519852
1658,-0.152336
1659,-0.152947
1660,-0.1508189
1661,-0.152601
1662,-0.1542126
1663,-0.1545531
1664,-0.1553023
1665,-0.1557276
1666,-0.1561119
1667,-0.1568723
1668,-0.1572101
1669,-0.1575447
1670,-0.1582891
1671,-0.1574825
1672,-0.1584381
1673,-0.1594744
1674,-1.4143916
1675,-1.0716210000000002
1676,-0.3294611
1677,-0.1894983
1678,-0.16520505
1679,-0.161252656
1680,-0.1598178999999999
1681,-0.1606365
1682,-0.1607728
1683,-0.1605338
1684,-0.1585305
1685,-0.1599444
1686,-0.1592842
1687,-0.1595503999999999
1688,-0.158718
1689,-0.158736
1690,-0.1590177
1691,-0.1587212999999999
1692,-0.1584863999999999
1693,-0.1586171
1694,-2.3373227000000005
1695,-2.0658821
1696,-0.5144913
1697,-0.2190259
1698,-0.1683223
1699,-0.15893557
1700,-0.1572644
1701,-0.1569248999999999
1702,-0.1571191
1703,-0.1543269
1704,-0.1524390999999999
1705,-0.1505514
1706,-0.1530283
1707,-0.1504597
1708,-0.1531584
1709,-0.1541804
1710,-0.1551241
1711,-0.1548855
1712,-0.5462427
1713,-0.3629877
1714,-0.1899389
1715,-0.15399121
1716,-0.14062623
1717,-0.1281395
1718,-0.1375648
1719,-0.1054137
1720,-2.1318028
1721,-1.4577855999999998
1722,-0.3852494299999999
1723,-0.17914539
1724,-0.12649438
1725,-0.12071267
1726,-0.0890329399999999
1727,-0.08631746
1728,-0.05008427
1729,-0.09765271
1730,-0.4106494
1731,-0.9570862
1732,-0.2731962
1733,-0.1508681
1734,-0.1249579399999999
1735,-0.097463948
1736,-0.0594052
1737,-0.0898083
1738,-0.0992526
1739,-0.2358494
1740,-0.4154155
1741,-0.1106173999999999
1742,-0.1145223
1743,-0.11674002
1744,-0.126545618
1745,-0.1277321
1746,-0.1288292999999999
1747,-0.12978655
1748,-0.05610088
1749,-0.05431129
1750,-0.0618067099999999
1751,-0.09241558
1752,-0.09882638
1753,-0.10583537
1754,-0.12479016
1755,-0.13041818
1756,-0.21825774
1757,-0.7696015599999999
1758,-0.2377135699999999
1759,-0.1022305699999999
1760,-0.08447861
1761,-0.051367208
1762,-2.0091089799999997
1763,-7.13557147
1764,-1.6529813000000002
1765,-0.396882
1766,-0.1707188
1767,-0.09097459
1768,-0.0363176
1769,-0.0005777999999999
1770,0.0006851999999999
1771,-0.0193127
1772,-0.0326683
1773,-0.0717807999999999
1774,-0.0774133
1775,-0.0998738
1776,-0.0869464999999999
1777,-0.0547775
1778,-0.010859
1779,0.0024336
1780,-0.0266510999999999
1781,-0.0040277
1782,-0.0479054999999999
1783,-0.0590759
1784,-0.0754409
1785,-0.0580268
1786,0.0041273
1787,0.0400597999999999
1788,0.0359043999999999
1789,0.036729
1790,0.022999
1791,0.0003862
1792,0.0032211
1793,0.0063710999999999
1794,-0.0026568
1795,-0.2236408
1796,-0.1044045
